domain,tld,ml_probability,source,is_featureless,domain_length,entropy,contains_brand,cert_is_lets_encrypt,cert_subject_has_org,is_dangerous_tld,is_legitimate_tld
postnet-operate.com,com,0.2606329,phishtank,True,19.0,3.391892644680931,0.0,1.0,0.0,False,True
mondialrelay-suivi.net,net,0.26165628,phishtank,True,22.0,3.879664004902593,0.0,1.0,0.0,False,True
whitepletinckx.com,com,0.26234692,jpcert,True,18.0,3.7254805569978675,0.0,1.0,0.0,False,True
keymancarpets.com,com,0.26247206,phishtank,True,17.0,3.6168746059562227,0.0,1.0,0.0,False,True
motorsportphotoagency.com,com,0.26286635,certificates,True,25.0,3.5132696895151074,0.0,1.0,0.0,False,True
amexopnfz.jp,jp,0.26334953,jpcert,True,12.0,3.418295834054489,0.0,1.0,0.0,False,True
seccpjjpp.com,com,0.2639323,phishtank,True,13.0,2.8150724101159437,0.0,1.0,0.0,False,True
buffycam.com,com,0.26447526,jpcert,True,12.0,3.084962500721156,0.0,1.0,0.0,False,True
re-amendes-gouv.com,com,0.26479277,phishtank,True,19.0,3.6818808028034016,0.0,1.0,0.0,False,True
generalgaming.ca,ca,0.26670048,phishtank,True,16.0,3.1556390622295662,0.0,1.0,0.0,False,True
ancien-bfor-espace.com,com,0.26734725,phishtank,True,22.0,3.6635327548042533,0.0,1.0,0.0,False,True
lllysgy.com,com,0.26738298,jpcert,True,11.0,2.845350936622437,0.0,0.0,0.0,False,True
nbjfdiwefkd.com,com,0.26786694,jpcert,True,15.0,3.640223928941851,0.0,1.0,0.0,False,True
portail-forfait.com,com,0.26826888,phishtank,True,19.0,3.4713544870139286,0.0,1.0,0.0,False,True
exaccenture.com,com,0.27168205,phishtank,True,15.0,3.2729055953200556,0.0,1.0,0.0,False,True
fr-lockers-relais.com,com,0.27207038,phishtank,True,21.0,3.5944656369614516,0.0,1.0,0.0,False,True
nblfxfsb.com,com,0.27270275,jpcert,True,12.0,3.2516291673878226,0.0,0.0,0.0,False,True
hxkdaz.com,com,0.273034,certificates,True,10.0,3.321928094887362,0.0,1.0,0.0,False,True
wnbgjj.com,com,0.27314848,certificates,True,10.0,3.121928094887362,0.0,1.0,0.0,False,True
producenz.com,com,0.27325383,phishtank,True,13.0,3.3927474104487847,0.0,1.0,0.0,False,True
hu166.com,com,0.2740272,certificates,True,9.0,2.94770277922009,0.0,0.0,0.0,False,True
japanpast.com,com,0.27545398,jpcert,True,13.0,3.180832987205441,0.0,1.0,0.0,False,True
paypayac.com,com,0.27731317,certificates,True,12.0,2.6887218755408666,0.0,1.0,0.0,False,True
canimpetim.com,com,0.27769935,jpcert,True,14.0,3.182005814760214,0.0,1.0,0.0,False,True
hlcoins.com,com,0.2796959,jpcert,True,11.0,3.095795255000934,0.0,1.0,0.0,False,True
mondialrelay-programmer.com,com,0.27994442,phishtank,True,27.0,3.661932872373583,0.0,1.0,0.0,False,True
mathgoeasy.com,com,0.2823541,jpcert,True,14.0,3.3787834934861767,0.0,1.0,0.0,False,True
igotcat.com,com,0.28283927,certificates,True,11.0,2.913977073182752,0.0,1.0,0.0,False,True
mon-environnement-edf.com,com,0.28312984,phishtank,True,25.0,3.399079570624173,0.0,1.0,0.0,False,True
hzspypglj.com,com,0.28345245,jpcert,True,13.0,3.5465935642949384,0.0,0.0,0.0,False,True
dbcnmememd04.com,com,0.2835276,jpcert,True,16.0,3.125,0.0,0.0,0.0,False,True
amazon-account-server.com,com,0.2842891,jpcert,True,25.0,3.6732696895151076,0.0,0.0,0.0,False,True
thuspages.com,com,0.28604707,jpcert,True,13.0,3.5465935642949384,0.0,1.0,0.0,False,True
bnkchiba.com,com,0.28691646,jpcert,True,12.0,3.2516291673878226,0.0,0.0,0.0,False,True
apartamentosnaplantasjc.com,com,0.287618,phishtank,True,27.0,3.457867131472585,0.0,1.0,0.0,False,True
irrisk.com.au,au,0.28792208,certificates,True,13.0,3.238901256602631,0.0,1.0,0.0,False,True
dolivro.com,com,0.29097858,jpcert,True,11.0,3.027169118440619,0.0,1.0,0.0,False,True
pooljax.com,com,0.29211643,jpcert,True,11.0,3.027169118440619,0.0,1.0,0.0,False,True
jahsasoda.com,com,0.2932342,jpcert,True,13.0,3.0269868333592873,0.0,1.0,0.0,False,True
x-andz.com,com,0.2937447,jpcert,True,10.0,3.321928094887362,0.0,0.0,0.0,False,True
bgeijs.com,com,0.2952168,jpcert,True,10.0,3.321928094887362,0.0,1.0,0.0,False,True
acztd.com,com,0.29523492,jpcert,True,9.0,2.94770277922009,0.0,1.0,0.0,False,True
dglxsj.com,com,0.29661986,certificates,True,10.0,3.321928094887362,0.0,1.0,0.0,False,True
sfr-esim-info.com,com,0.29784772,phishtank,True,17.0,3.381580488309164,0.0,1.0,0.0,False,True
gsdqsjzs.com,com,0.30000135,jpcert,True,12.0,3.188721875540867,0.0,0.0,0.0,False,True
sherryreis.com,com,0.30015323,jpcert,True,14.0,3.182005814760214,0.0,0.0,0.0,False,True
shangeketang.com,com,0.3005218,jpcert,True,16.0,3.5,0.0,1.0,0.0,False,True
chesnutforestry.com,com,0.3032514,certificates,True,19.0,3.616348566075164,0.0,1.0,0.0,False,True
dorothygetscreative.com,com,0.30409983,certificates,True,23.0,3.729446194905257,0.0,1.0,0.0,False,True
honecon.net,net,0.30558258,certificates,True,11.0,2.663532754804255,0.0,0.0,0.0,False,True
dodgeandson.com,com,0.30576038,certificates,True,15.0,3.1395722619867223,0.0,1.0,0.0,False,True
bljjd.com,com,0.3070987,certificates,True,9.0,2.94770277922009,0.0,0.0,0.0,False,True
suivi-consigne.com,com,0.3074517,phishtank,True,18.0,3.4613201402110083,0.0,1.0,0.0,False,True
hannari.deasgarden.jp,jp,0.30896905,jpcert,True,21.0,3.4039894464852614,0.0,1.0,0.0,False,True
exf4s.com,com,0.30950087,jpcert,True,9.0,3.169925001442312,0.0,1.0,0.0,False,True
freedomappapkdownload.com,com,0.30988535,jpcert,True,25.0,3.5932696895151075,0.0,1.0,0.0,False,True
promotionalproducts2u.com.au,au,0.31001797,phishtank,True,28.0,3.7229074943218796,0.0,1.0,0.0,False,True
colemanfam.com,com,0.3101679,jpcert,True,14.0,3.039148671903071,0.0,1.0,0.0,False,True
etc-maisei-japan1.co,co,0.31124803,jpcert,True,20.0,3.6841837197791887,0.0,1.0,0.0,False,True
panamaglobe.com,com,0.31246027,certificates,True,15.0,3.3232314287976203,0.0,1.0,0.0,False,True
mufgqw.com,com,0.3127681,certificates,True,10.0,3.121928094887362,0.0,0.0,0.0,False,True
southstreetcomedy.com,com,0.31295386,jpcert,True,21.0,3.4273334938982645,0.0,1.0,0.0,False,True
kitchenidea.co.uk,uk,0.31395087,phishtank,True,17.0,3.4992275471326932,0.0,0.0,0.0,False,True
relais-passerelle.com,com,0.31498206,phishtank,True,21.0,3.3680424225727146,0.0,1.0,0.0,False,True
sdhomeschoolcenter.com,com,0.31508142,certificates,True,22.0,3.3908054820769813,0.0,1.0,0.0,False,True
jssfljxc.com,com,0.31614468,jpcert,True,12.0,3.084962500721156,0.0,1.0,0.0,False,True
iaestudy.com,com,0.31705463,jpcert,True,12.0,3.584962500721156,0.0,1.0,0.0,False,True
kankyosogoz.net,net,0.31776133,jpcert,True,15.0,3.32323142879762,0.0,1.0,0.0,False,True
7starsdata.com,com,0.31783447,jpcert,True,14.0,3.182005814760214,0.0,1.0,0.0,False,True
jppost-acc.com,com,0.3178691,certificates,True,14.0,3.182005814760214,0.0,0.0,0.0,False,True
farmastim.com,com,0.3186558,jpcert,True,13.0,3.180832987205441,0.0,1.0,0.0,False,True
livraisons-interrompu.com,com,0.31944913,phishtank,True,25.0,3.8332696895151073,0.0,1.0,0.0,False,True
pdtng.com,com,0.32119417,jpcert,True,9.0,3.169925001442312,0.0,0.0,0.0,False,True
punkadotamus.com,com,0.32183832,jpcert,True,16.0,3.5,0.0,1.0,0.0,False,True
meinkonto.telekom-dienste.de,de,0.32252762,phishtank,True,28.0,3.3868392966712704,0.0,0.0,0.0,False,True
88yuming.com,com,0.3237461,jpcert,True,12.0,3.2516291673878226,0.0,1.0,0.0,False,True
illaricv.com,com,0.3237978,jpcert,True,12.0,3.0849625007211556,0.0,1.0,0.0,False,True
tongkhorobot.com,com,0.32398552,jpcert,True,16.0,3.149397470347699,0.0,0.0,0.0,False,True
