domain,tld,ml_probability,source,is_featureless,domain_length,entropy,contains_brand,cert_is_lets_encrypt,cert_subject_has_org,is_dangerous_tld,is_legitimate_tld,ml_bin,gsb_status,gsb_detail,gsb_checked_at,created,age_days,registrar,whois_status
navitiot.com,com,0.3499297,jpcert,True,12.0,3.084962500721156,0.0,1.0,0.0,False,True,high,safe,No unsafe content found,2026-01-11T17:46:13.005125,2025-03-28,289,Gname.com Pte. Ltd.,found
khachsanmayho.com,com,0.347788,jpcert,True,17.0,3.175123135113461,0.0,1.0,0.0,False,True,high,safe,No unsafe content found,2026-01-11T17:46:19.438394,2015-05-12,3897,P.A. Viet Nam Company Limited,found
boerdz.com,com,0.3491892,jpcert,True,10.0,3.121928094887362,0.0,1.0,0.0,False,True,high,unknown,Status element not found,2026-01-11T17:46:25.859788,,-1,,deleted
szxgny.com,com,0.4413926,jpcert,True,10.0,3.321928094887362,0.0,0.0,0.0,False,True,high,safe,No unsafe content found,2026-01-11T17:46:37.934515,2025-03-15,302,Gname.com Pte. Ltd.,found
spiritedladies.com,com,0.41102687,jpcert,True,18.0,3.5724312513221195,0.0,1.0,0.0,False,True,high,safe,No unsafe content found,2026-01-11T17:46:45.063555,2025-01-07,368,"Register.com - Network Solutions, LLC",found
tracybloom.co.uk,uk,0.33477676,phishtank,True,16.0,3.452819531114783,0.0,0.0,0.0,False,True,high,safe,No unsafe content found,2026-01-11T17:46:52.151150,2009-10-12,5935,123-Reg Limited t/a 123-reg [Tag = 123-REG],found
0371lingte.com,com,0.36963293,jpcert,True,14.0,3.8073549220576055,0.0,1.0,0.0,False,True,high,safe,No unsafe content found,2026-01-11T17:46:58.598017,2025-06-30,195,Key-Systems GmbH,found
weddingcufflinksuk.com,com,0.34377295,jpcert,True,22.0,3.82306798227366,0.0,1.0,0.0,False,True,high,unknown,Status element not found,2026-01-11T17:47:05.048752,2024-12-20,386,"SNAPNAMES 46, LLC",found
insjaghsama.com,com,0.44158015,jpcert,True,15.0,3.323231428797621,0.0,1.0,0.0,False,True,high,safe,No unsafe content found,2026-01-11T17:47:16.449976,2025-01-15,361,Aceville Pte. Ltd.,found
jianlimuye.com,com,0.3768789,jpcert,True,14.0,3.521640636343319,0.0,1.0,0.0,False,True,high,safe,No unsafe content found,2026-01-11T17:47:23.536963,2022-07-16,1275,Gname.com Pte. Ltd.,found
meinkonto.telekom-dienste.de,de,0.32252762,phishtank,True,28.0,3.3868392966712704,0.0,0.0,0.0,False,True,high,safe,No unsafe content found,2026-01-11T17:47:29.924467,,-1,,no_date
iaestudy.com,com,0.31705463,jpcert,True,12.0,3.584962500721156,0.0,1.0,0.0,False,True,high,safe,No unsafe content found,2026-01-11T17:47:36.309697,,-1,,deleted
7starsdata.com,com,0.31783447,jpcert,True,14.0,3.182005814760214,0.0,1.0,0.0,False,True,high,safe,No unsafe content found,2026-01-11T17:47:42.689077,2024-08-20,509,Gname.com Pte. Ltd.,found
jdongaz.com,com,0.45346257,certificates,True,11.0,3.277613436819116,0.0,1.0,0.0,False,True,high,safe,No unsafe content found,2026-01-11T17:47:49.801866,,-1,,deleted
iunkxaqinfl.com,com,0.43669277,jpcert,True,15.0,3.640223928941851,0.0,1.0,0.0,False,True,high,safe,No unsafe content found,2026-01-11T17:47:56.897856,2025-02-06,339,Aceville Pte. Ltd.,found
