domain,tld,ml_probability,source,features,is_dangerous_tld,has_brand,high_entropy,short_domain,entropy,domain_length,contains_brand,gsb_status,gsb_detail,gsb_checked_at
soilsta.co.za,za,0.16646221,jpcert,,False,False,False,False,3.085055102756477,13.0,0.0,unknown,Status element not found,2026-01-11T20:07:11.695739
expy.top,top,0.07660952,jpcert,dangerous_tld,True,False,False,False,2.75,8.0,0.0,safe,No unsafe content found,2026-01-11T20:07:24.084895
u3l.co,co,0.016602853,phishtank,short,False,False,False,True,2.584962500721156,6.0,0.0,safe,No unsafe content found,2026-01-11T20:07:31.206091
palby.info,info,0.128981,certificates,,False,False,False,False,3.321928094887362,10.0,0.0,safe,No unsafe content found,2026-01-11T20:07:37.849204
amanon.ml,ml,0.3567895,certificates,dangerous_tld,True,False,False,False,2.5032583347756456,9.0,0.0,safe,No unsafe content found,2026-01-11T20:07:44.950540
e9u.cc,cc,0.09039326,certificates,"dangerous_tld,,short",True,False,False,True,2.2516291673878226,6.0,0.0,safe,No unsafe content found,2026-01-11T20:07:52.076976
2kje0t.top,top,0.48961848,phishtank,dangerous_tld,True,False,False,False,3.121928094887362,10.0,0.0,unknown,Status element not found,2026-01-11T20:07:59.142318
short.bid,bid,0.034357484,phishtank,,False,False,False,False,3.169925001442312,9.0,0.0,safe,No unsafe content found,2026-01-11T20:08:10.444215
zzhaoqn.cn,cn,0.034892477,jpcert,dangerous_tld,True,False,False,False,2.9219280948873623,10.0,0.0,safe,No unsafe content found,2026-01-11T20:08:16.840401
7vah.top,top,0.15042616,phishtank,dangerous_tld,True,False,False,False,3.0,8.0,0.0,unknown,Status element not found,2026-01-11T20:08:23.250363
issiuk.com.cn,cn,0.05639025,jpcert,dangerous_tld,True,False,False,False,3.0850551027564768,13.0,0.0,unknown,Status element not found,2026-01-11T20:08:35.513069
1tftdctr2.lat,lat,0.2354559,phishtank,dangerous_tld,True,False,False,False,3.085055102756477,13.0,0.0,safe,No unsafe content found,2026-01-11T20:08:47.926237
kuranckoyemato.cfd,cfd,0.33522835,jpcert,dangerous_tld,True,False,False,False,3.725480556997868,18.0,0.0,safe,No unsafe content found,2026-01-11T20:08:55.030326
happypet.mx,mx,0.039201822,jpcert,,False,False,False,False,3.027169118440619,11.0,0.0,safe,No unsafe content found,2026-01-11T20:09:02.125507
myjcb.vip,vip,0.41415513,jpcert,,False,False,False,False,3.169925001442312,9.0,0.0,unknown,Status element not found,2026-01-11T20:09:08.473826
estudiojuri.online,online,0.096002676,jpcert,dangerous_tld,True,False,False,False,3.4613201402110083,18.0,0.0,safe,No unsafe content found,2026-01-11T20:09:19.775784
famoty.cn,cn,0.34323224,jpcert,dangerous_tld,True,False,False,False,3.169925001442312,9.0,0.0,unknown,Status element not found,2026-01-11T20:09:26.195061
amsbi.top,top,0.4553993,certificates,dangerous_tld,True,False,False,False,3.169925001442312,9.0,0.0,safe,No unsafe content found,2026-01-11T20:09:37.638020
oioaqf.cc,cc,0.19719307,jpcert,dangerous_tld,True,False,False,False,2.725480556997868,9.0,0.0,safe,No unsafe content found,2026-01-11T20:09:44.746850
portalsyncs.site,site,0.15975392,phishtank,dangerous_tld,True,False,False,False,3.577819531114783,16.0,0.0,unknown,Status element not found,2026-01-11T20:09:51.845927
rxqod6.sbs,sbs,0.33853573,phishtank,dangerous_tld,True,False,False,False,3.1219280948873624,10.0,0.0,safe,No unsafe content found,2026-01-11T20:10:03.260233
rgui48fio.lat,lat,0.29138973,phishtank,dangerous_tld,True,False,False,False,3.5465935642949384,13.0,0.0,safe,No unsafe content found,2026-01-11T20:10:09.659511
pnqmdib.top,top,0.26643682,jpcert,dangerous_tld,True,False,False,False,3.2776134368191165,11.0,0.0,safe,No unsafe content found,2026-01-11T20:10:16.066812
kr.pe,pe,0.11822971,phishtank,short,False,False,False,True,2.321928094887362,5.0,0.0,unknown,Status element not found,2026-01-11T20:10:23.173669
einvy.cn,cn,0.34932342,jpcert,dangerous_tld,True,False,False,False,2.75,8.0,0.0,unknown,Status element not found,2026-01-11T20:10:35.284310
sonatahouse.school,school,0.018527983,phishtank,,False,False,False,False,3.239097917988786,18.0,0.0,safe,No unsafe content found,2026-01-11T20:10:47.465067
gamesens.ir,ir,0.09166193,phishtank,,False,False,False,False,3.095795255000934,11.0,0.0,safe,No unsafe content found,2026-01-11T20:10:54.592190
hdhjf2sm.lat,lat,0.48041654,phishtank,dangerous_tld,True,False,False,False,3.418295834054489,12.0,0.0,safe,No unsafe content found,2026-01-11T20:11:01.720870
xn--90aemgtfodc1a8f.xn--80adxhks,xn--80adxhks,0.03108591,jpcert,high_entropy,False,False,True,False,4.140319531114783,32.0,0.0,safe,No unsafe content found,2026-01-11T20:11:08.139342
aexoskpskhhh.top,top,0.44339538,jpcert,dangerous_tld,True,False,False,False,3.202819531114783,16.0,0.0,safe,No unsafe content found,2026-01-11T20:11:14.564676
vcsr.cn,cn,0.06933492,jpcert,"dangerous_tld,,short",True,False,False,True,2.5216406363433186,7.0,0.0,safe,No unsafe content found,2026-01-11T20:11:20.974006
qm0fc7pv.lat,lat,0.263983,phishtank,dangerous_tld,True,False,False,False,3.584962500721156,12.0,0.0,safe,No unsafe content found,2026-01-11T20:11:27.403315
p2j.top,top,0.45411757,certificates,"dangerous_tld,,short",True,False,False,True,2.5216406363433186,7.0,0.0,safe,No unsafe content found,2026-01-11T20:11:34.514686
fnopz.cn,cn,0.20097296,jpcert,dangerous_tld,True,False,False,False,2.75,8.0,0.0,unknown,Status element not found,2026-01-11T20:11:41.571224
tepcocheckout.me,me,0.20188124,certificates,,False,False,False,False,3.1556390622295662,16.0,0.0,safe,No unsafe content found,2026-01-11T20:11:53.349452
sodexo-push.amapps.cz,cz,0.24566348,phishtank,,False,False,False,False,3.653756708287001,21.0,0.0,safe,No unsafe content found,2026-01-11T20:12:00.504327
q8u.top,top,0.43884656,certificates,"dangerous_tld,,short",True,False,False,True,2.807354922057604,7.0,0.0,safe,No unsafe content found,2026-01-11T20:12:07.614542
chepost.org.cn,cn,0.014979436,phishtank,dangerous_tld,True,False,False,False,3.378783493486176,14.0,0.0,safe,No unsafe content found,2026-01-11T20:12:14.030800
cueseuoet.xyz,xyz,0.059424866,phishtank,dangerous_tld,True,False,False,False,3.180832987205441,13.0,0.0,unknown,Status element not found,2026-01-11T20:12:20.460957
synergyminerals.in,in,0.036619823,phishtank,,False,False,False,False,3.350209029099897,18.0,0.0,safe,No unsafe content found,2026-01-11T20:12:31.864248
asdasdasdasd.life,life,0.34418878,phishtank,,False,False,False,False,2.6756981353679867,17.0,0.0,safe,No unsafe content found,2026-01-11T20:12:38.933524
metacenter.com.mx,mx,0.13009857,jpcert,,False,False,False,False,3.175123135113461,17.0,0.0,safe,No unsafe content found,2026-01-11T20:12:45.334733
mercar.cyou,cyou,0.26550472,jpcert,dangerous_tld,True,False,False,False,3.095795255000934,11.0,0.0,safe,No unsafe content found,2026-01-11T20:12:51.743557
httiotm.top,top,0.35389033,certificates,dangerous_tld,True,False,False,False,2.5503407095463886,11.0,0.0,safe,No unsafe content found,2026-01-11T20:12:58.154939
jp-pay.me,me,0.0561843,jpcert,,False,False,False,False,2.94770277922009,9.0,0.0,safe,No unsafe content found,2026-01-11T20:13:05.227149
lifecard.icu,icu,0.357984,jpcert,dangerous_tld,True,False,False,False,3.2516291673878226,12.0,0.0,safe,No unsafe content found,2026-01-11T20:13:12.016644
qa1ej7.lat,lat,0.019903077,phishtank,dangerous_tld,True,False,False,False,3.121928094887362,10.0,0.0,safe,No unsafe content found,2026-01-11T20:13:19.114767
rinall.top,top,0.45385435,jpcert,dangerous_tld,True,False,False,False,3.121928094887362,10.0,0.0,safe,No unsafe content found,2026-01-11T20:13:26.196027
sonapta.sn,sn,0.068877876,jpcert,,False,False,False,False,2.721928094887362,10.0,0.0,safe,No unsafe content found,2026-01-11T20:13:33.279170
toprocese.life,life,0.33197677,jpcert,,False,False,False,False,3.3248629576173574,14.0,0.0,safe,No unsafe content found,2026-01-11T20:13:40.372669
radar-circulation.info,info,0.38255548,phishtank,,False,False,False,False,3.5383105956150054,22.0,0.0,safe,No unsafe content found,2026-01-11T20:13:47.490731
