domain,tld,ml_probability,source,features,is_dangerous_tld,has_brand,high_entropy,short_domain,entropy,domain_length,contains_brand
mapsa.com.pe,pe,0.06498488,phishtank,,False,False,False,False,2.9182958340544896,12.0,0.0
0bdypy5o.lat,lat,0.15552318,phishtank,dangerous_tld,True,False,False,False,3.418295834054489,12.0,0.0
kumbhatfinancialserviceslimited.com,com,0.07872446,phishtank,high_entropy,False,False,True,False,4.025591860285232,35.0,0.0
i7yk1x.top,top,0.48857903,phishtank,dangerous_tld,True,False,False,False,3.321928094887362,10.0,0.0
smbc-cardnb.icu,icu,0.15833165,phishtank,dangerous_tld,True,False,False,False,3.4565647621309536,15.0,0.0
smpitabyfds.sch.id,id,0.30197674,phishtank,,False,False,False,False,3.5724312513221195,18.0,0.0
vxxre.xyz,xyz,0.13017811,certificates,dangerous_tld,True,False,False,False,2.6416041678685933,9.0,0.0
bis-usonic.eu,eu,0.018474674,jpcert,,False,False,False,False,3.238901256602631,13.0,0.0
ojyodcxuisnh.xyz,xyz,0.0610327,jpcert,dangerous_tld,True,False,False,False,3.625,16.0,0.0
buboaleimxrt.xyz,xyz,0.037052587,jpcert,dangerous_tld,True,False,False,False,3.75,16.0,0.0
szonyegtisztito-karpittisztito.hu,hu,0.030648509,jpcert,,False,False,False,False,3.6648248031363186,33.0,0.0
delfintour.sk,sk,0.022754744,phishtank,,False,False,False,False,3.7004397181410926,13.0,0.0
myjcb-link.me,me,0.065406054,jpcert,,False,False,False,False,3.5465935642949384,13.0,0.0
aoem.shop,shop,0.18514448,certificates,,False,False,False,False,2.94770277922009,9.0,0.0
motorexpert.cz,cz,0.013235744,phishtank,,False,False,False,False,3.2359263506290334,14.0,0.0
logcorreiosimportacoes.co.ua,ua,0.018063456,phishtank,,False,False,False,False,3.5566567074628233,28.0,0.0
lfchuangke.cn,cn,0.42700383,certificates,dangerous_tld,True,False,False,False,3.3927474104487847,13.0,0.0
hassantesting.trionex.pk,pk,0.21515276,phishtank,,False,False,False,False,3.6572682296173897,24.0,0.0
spt.to,to,0.0014404956,jpcert,short,False,False,False,True,2.2516291673878226,6.0,0.0
