domain,source,ml_probability,has_archive,archive_date
doudouxizi.com,certificates,0.05020235478878021,,
blushseo.com,certificates,0.17045733332633972,,
findazores.com,certificates,0.12787488102912903,,
mrw.so,certificates,0.019041286781430244,,
aeonzm.com,certificates,0.07453493773937225,,
mufgqw.com,certificates,0.24711443483829498,,
inktheshirta.cc,certificates,0.08830028772354126,,
TiNy.Cc,certificates,0.10795243084430695,,
beforewemeetllc.com,jpcert,0.039066627621650696,,
e9u.cc,certificates,0.04165688157081604,,
dhxx.net,certificates,0.15581560134887695,,
simondoesdubai.com,certificates,0.009466038085520267,,
kandcrecycling.co.za,jpcert,0.056300193071365356,,
chrome-up.club,certificates,0.2579754889011383,,
dileoid.com,certificates,0.011949889361858368,,
kuronekoyamat.cc,certificates,0.21746666729450226,,
honecon.net,certificates,0.2498473823070526,,
hljspys.com,certificates,0.2625788450241089,,
techwizz.in,certificates,0.15408188104629517,,
hikk.shop,certificates,0.02353258803486824,,
whwangluo.com,certificates,0.03170189633965492,,
heiqi.xyz,certificates,0.02495698072016239,,
divinajoias.com,certificates,0.0030893292278051376,,
anestinnature.com,certificates,0.03420946002006531,,
gogochebaomu.com,jpcert,0.008693593554198742,,
hzoq.cn,certificates,0.23915214836597443,,
vip5vip.com,certificates,0.18858908116817474,,
bdxhdl.com,certificates,0.22901692986488342,,
cslse.com,certificates,0.017290815711021423,,
7xlveayj.com,certificates,0.233251690864563,,
amejp.top,certificates,0.2069796770811081,,
hablw.cn,certificates,0.14715759456157684,,
gsredu.com,certificates,0.08670138567686081,,
theindayogroup.com,jpcert,0.004899294581264257,,
bljjd.com,certificates,0.16907985508441925,,
westchinaphoto.com,certificates,0.027553679421544075,,
hnjianguangming.com,certificates,0.13819032907485962,,
uliu.cn,certificates,0.04638497531414032,,
mitadi.com,certificates,0.015492668375372887,,
