domain,source,ml_probability,dns_resolves,http_status,looks_legit,legit_indicators
58holy.net,jpcert,0.951094388961792,True,503.0,,
weoijs.live,jpcert,0.9746469855308533,False,,,
shancuoxia.cn,certificates,0.8050767183303833,True,,,
amazom-1co-jp.xyz,certificates,0.9198974967002869,False,,,
rakuten-japan.live,jpcert,0.9728647470474243,False,,,
anna-hoang.com,jpcert,0.9120800495147705,True,503.0,,
j12mra.cn,jpcert,0.7684215307235718,True,403.0,,
hanyipuzi.com,certificates,0.8711053729057312,False,,,
id-conect.info,certificates,0.9578938484191895,False,,,
fitchat.com.cn,certificates,0.9758148789405823,False,,,
amazoywhfjas.com,certificates,0.9557671546936035,False,,,
anatolianwarrior.com,certificates,0.8886125087738037,False,,,
sdbrhedaynztok.com,jpcert,0.8785936832427979,False,,,
yvoab.cn,jpcert,0.9089678525924683,True,503.0,,
ivkar.cn,certificates,0.9793750643730164,False,,,
aifulti.cyou,jpcert,0.9459359049797058,False,,,
1u6b0z.top,phishtank,0.7297195792198181,False,,,
asahi-lifer.com,certificates,0.8303504586219788,False,,,
jeaovq.cn,jpcert,0.8796109557151794,True,503.0,,
r-l.top,jpcert,0.9648356437683105,False,,,
cougarsmut.com,jpcert,0.9813216328620911,False,,,
pmvjh.cn,phishtank,0.8966885209083557,False,,,
syoutech.com,certificates,0.9563458561897278,True,503.0,,
rakutencards.cc,jpcert,0.9353926777839661,True,503.0,,
qbstdfds.com,jpcert,0.9641290307044983,False,,,
hjavnrw.xyz,jpcert,0.702938973903656,False,,,
utwza.com,phishtank,0.9794648289680481,False,,,
opepcrfr.com,jpcert,0.7489676475524902,True,503.0,,
beebiservice.com,jpcert,0.952021598815918,True,503.0,,
mirid.cn,jpcert,0.9748867750167847,True,503.0,,
jupiter-prize.com,phishtank,0.9864083528518677,True,503.0,,
nootropic.cn,certificates,0.7785953283309937,False,,,
inpuy.cn,jpcert,0.9748867750167847,True,503.0,,
qncauto.com,certificates,0.9731664061546326,True,503.0,,
mangkhoxaongonb.icu,certificates,0.8456646203994751,False,,,
utwgw.com,phishtank,0.987967312335968,False,,,
alhangyi.com,certificates,0.9661505818367004,False,,,
ameuoxpreas.com,jpcert,0.9487056136131287,False,,,
yeschef.cn,certificates,0.9642630219459534,True,503.0,,
answer-gmo-aozora.is,certificates,0.9341003894805908,False,,,
aisuoxuan.com,jpcert,0.9863280057907104,True,503.0,,
cpzmushelu.com,jpcert,0.9875811338424683,False,,,
yvjxamaomao.com,certificates,0.9755086898803711,False,,,
gbbjl.cn,phishtank,0.9640609622001648,True,503.0,,
wmpiofd.top,certificates,0.9739789366722107,False,,,
rewardsportal.top,certificates,0.947604775428772,False,,,
lylhwzjs.com,certificates,0.9811344146728516,True,503.0,,
pknfnsmupdbju.com,phishtank,0.9409545660018921,False,,,
heimaojituan14.com,jpcert,0.9128707051277161,False,,,
jinanjiyerenli.com,certificates,0.9832398295402527,True,503.0,,
pdghm.cn,phishtank,0.9787294864654541,True,503.0,,
gzhuoyuan.com,certificates,0.9843488335609436,True,403.0,,
sdhxly.com,jpcert,0.876153826713562,True,200.0,unknown,
thechickentrap.com,jpcert,0.8490915298461914,True,503.0,,
kuronekoyamecato.top,jpcert,0.8999059200286865,False,,,
kuronekoyamcato.top,jpcert,0.7666835784912109,False,,,
wusenkj.cn,certificates,0.7504056096076965,True,503.0,,
softsecurec.site,jpcert,0.9500775337219238,False,,,
cwbm.cn,certificates,0.9670215249061584,False,,,
unkxmhx.com,certificates,0.9647045731544495,True,503.0,,
koncniw.com,certificates,0.9539375305175781,False,,,
ttdc.ge,jpcert,0.9850568175315857,False,,,
xcn168.com,certificates,0.9538632035255432,True,503.0,,
ntaeo.com,certificates,0.9433985948562622,False,,,
dftlnr.cn,jpcert,0.9065117835998535,True,503.0,,
big-lobe-web-mail-jp.cloud,jpcert,0.8985579609870911,False,,,
sjjkj1.top,certificates,0.9672876000404358,False,,,
scdcjf.com,certificates,0.9701433181762695,False,,,
fjovx.cn,jpcert,0.957789957523346,False,,,
cloudsaltshaker.co.kr,jpcert,0.986966609954834,False,,,
rhodolite.cn,jpcert,0.8074179887771606,True,503.0,,
zjcopious.com,jpcert,0.9500392079353333,False,,,
etxcinf.com,phishtank,0.9726956486701965,False,,,
encoregardengroup.com,jpcert,0.9561765789985657,False,,,
allddn.com,jpcert,0.8055493235588074,True,503.0,,
allmendoit.com,jpcert,0.810679018497467,False,,,
835279.com,jpcert,0.9744384288787842,False,,,
jakeogorzalek.com,jpcert,0.7305605411529541,False,,,
irishpub.cn,certificates,0.8893435597419739,False,,,
iamazan.com,jpcert,0.920012354850769,False,,,
gramdao.xyz,phishtank,0.963397204875946,False,,,
baezd.com,certificates,0.9187153577804565,False,,,
oihxbvsbdv.icu,certificates,0.9721075892448425,False,,,
correo6.cc,phishtank,0.7032144069671631,False,,,
recovery-xokd.top,jpcert,0.7135882377624512,False,,,
vtczhw.com,jpcert,0.9381967782974243,False,,,
smbc-caradat.com,jpcert,0.8584030270576477,True,503.0,,
fpers.com,certificates,0.9804747700691223,False,,,
greapritot29.life,certificates,0.7038871049880981,False,,,
smbc-cardj.xin,jpcert,0.9823305606842041,False,,,
vernacularvideos.com,phishtank,0.8906809091567993,True,503.0,,
vscribes.com,jpcert,0.9851859211921692,False,,,
mycajcbbs.sbs,jpcert,0.98183274269104,True,503.0,,
