domain,source,ml_probability,dns_resolves,http_status,content_length,looks_legit,legit_indicators,phish_indicators
garittooberu.com,jpcert,0.0366431400179863,True,200.0,41987,unknown,copyright,
zerolimitart.com,jpcert,0.029068509116768837,True,200.0,7626,False,contact,suspended
pramuangnue.com,jpcert,0.02177879959344864,True,200.0,69807,True,contact|copyright,
ghtree.com,certificates,0.013261927291750908,True,503.0,6804,,,
en.wonderlink.de,phishtank,0.06789951771497726,True,200.0,56112,True,privacy policy|terms of service,
seedsack.com,jpcert,0.05118253082036972,True,200.0,168,,,
thuspages.com,jpcert,0.2633741796016693,False,,0,,,
shxieer.cn,jpcert,0.00760667584836483,True,503.0,6804,,,
saltekomakine.com,phishtank,0.15920677781105042,True,503.0,6811,,,
jinlindl.com,phishtank,0.049752771854400635,True,503.0,6806,,,
hzspypglj.com,jpcert,0.111170694231987,True,200.0,89007,True,about us|contact|copyright,
canlaile.com,certificates,0.037074975669384,False,,0,,,
serviceautoroutes.com,phishtank,0.04215916618704796,True,503.0,6815,,,
cemev.com.ar,phishtank,0.075813427567482,True,503.0,6806,,,
svmschool.edu.bd,jpcert,0.18090929090976715,True,200.0,29195,unknown,contact,
gs-breitenhagen.de,jpcert,0.04354144260287285,True,200.0,301795,True,contact|copyright,
consolerepairs.org.uk,phishtank,0.07493405789136887,True,503.0,6815,,,
gayatrienterprise.com,jpcert,0.09210652112960815,True,200.0,114,,,
fastsettlementhub.click,phishtank,0.05516301468014717,False,,0,,,
kuronekoyamat.cc,certificates,0.21746666729450226,False,,0,,,
nina-life.com,jpcert,0.09012694656848907,True,200.0,3447,unknown,copyright,
wildknights.jp,jpcert,0.06528681516647339,True,200.0,2633,unknown,copyright,
florerialasfrecias.com,phishtank,0.053528789430856705,True,503.0,6816,,,
bfd269.com,jpcert,0.1458786129951477,True,503.0,6804,,,
bioegroup.com,phishtank,0.035107795149087906,True,503.0,6807,,,
9408kramerwood.com,phishtank,0.04205863177776337,True,503.0,6812,,,
jhbnm.com,jpcert,0.0962887778878212,True,503.0,6803,,,
doudouxizi.com,certificates,0.05020235478878021,True,403.0,146,,,
secure-jp.icu,phishtank,0.1526208370923996,False,,0,,,
futurethink.co.za,phishtank,0.04540817812085152,True,503.0,6811,,,
specialm.cn,jpcert,0.2098267823457718,True,503.0,6805,,,
kemvalstore.com,jpcert,0.011579888872802258,False,,0,,,
jfpjq.com,jpcert,0.0962887778878212,True,503.0,6803,,,
myjcb-no.me,jpcert,0.11212363839149475,True,503.0,6805,,,
pathalive.com,jpcert,0.178285151720047,True,200.0,298353,True,about us|contact|privacy policy|copyright|terms of service|company,
sbl-securitea.com,phishtank,0.037434764206409454,False,,0,,,
nevasnation.com,jpcert,0.13998101651668549,False,,0,,,
eplshippinguae.com,jpcert,0.025037575513124466,True,503.0,6812,,,
rxqi.cn,jpcert,0.2219996601343155,True,503.0,6801,,,
aeonzm.com,certificates,0.07453493773937225,True,200.0,16369,unknown,,
xanderleneave.com,jpcert,0.22269029915332794,False,,0,,,
kobayashi.farm,jpcert,0.06507345288991928,True,200.0,96498,True,about us|contact|copyright|company,
eau-veolia.com,phishtank,0.1564325988292694,False,,0,,,
johnlaw.com,phishtank,0.0301702581346035,True,503.0,6805,,,
cuadrosblangar.es,phishtank,0.023302627727389336,True,503.0,6811,,,
blogclaudiooliveira.com,jpcert,0.031297456473112106,True,503.0,6817,,,
rowearchitectlove.cc,jpcert,0.0395919531583786,False,,0,,,
smarttecho.net,phishtank,0.03856303542852402,True,503.0,6808,,,
meetaz.com,jpcert,0.028128731995821,True,410.0,0,,,
dljinbomy.com,certificates,0.09271752089262009,True,503.0,6807,,,
kw-anwaelte.com,jpcert,0.12672719359397888,True,200.0,251297,unknown,company,
selvamedic.com,phishtank,0.03728227689862251,True,503.0,6808,,,
stand2-toptop.ru,phishtank,0.05174097791314125,False,,0,,,
ulys-france.com,phishtank,0.19332987070083618,False,,0,,,
aeon-servec.com,certificates,0.08883779495954514,False,,0,,,
yizhongju.com,certificates,0.010654852725565434,True,503.0,6807,,,
jbmnc.com,phishtank,0.01805785484611988,True,503.0,6803,,,
lanzonecg.com,jpcert,0.015158971771597862,True,503.0,6807,,,
amaons.com,certificates,0.11732727289199829,False,,0,,,
qge8o8.cn,jpcert,0.18414080142974854,True,503.0,6803,,,
yuukayamada-art-leciel-sky.com,jpcert,0.03531195968389511,True,200.0,61514,True,contact|copyright,
mang123.cn,certificates,0.06770533323287964,True,403.0,4545,,,
dejoq.cn,jpcert,0.23665885627269745,False,,0,,,
aquaveil.net,phishtank,0.040853749960660934,True,503.0,6806,,,
urlsurvey.co.in,jpcert,0.029040168970823288,True,406.0,226,,,
hxkdaz.com,certificates,0.28632035851478577,True,503.0,6804,,,
mollydefrank.com,jpcert,0.02181423455476761,True,406.0,226,,,
guminwx.com,certificates,0.1476820558309555,False,,0,,,
ibndesign.xyz,phishtank,0.11505481600761414,False,,0,,,
awluo.com,certificates,0.011434286832809448,True,503.0,6803,,,
alifbusinessgroup.com,phishtank,0.029469510540366173,True,503.0,6815,,,
wioenl.cn,jpcert,0.27977827191352844,False,,0,,,
idf-dhl.com,phishtank,0.20668672025203705,False,,0,,,
satsumatsu.com,jpcert,0.1387055367231369,False,,0,,,
jintangshebei.com,jpcert,0.033638276159763336,True,503.0,6811,,,
liberta-jikohasan.com,jpcert,0.08196661621332169,True,200.0,36062,unknown,contact,
ahhrdc.com,jpcert,0.1196901798248291,True,200.0,50259,True,about us|contact|copyright,
jllia.cn,jpcert,0.2041741907596588,True,503.0,6802,,,
suaponto.top,phishtank,0.009019610472023487,False,,0,,,
findazores.com,certificates,0.12787488102912903,False,,0,,,
mizamedikal.com,phishtank,0.04308663308620453,True,503.0,6809,,,
vngviatges.com,jpcert,0.03741772845387459,True,503.0,6808,,,
mathgoeasy.com,jpcert,0.2840999364852905,False,,0,,,
msm-sonnenschutz.at,phishtank,0.010133487172424793,True,200.0,44147,unknown,,
abahshah.com,phishtank,0.031750887632369995,True,503.0,6806,,,
bluewiin.com,phishtank,0.02793877013027668,True,503.0,6806,,,
buscoverytours.com,jpcert,0.051157016307115555,True,200.0,32698,True,about us|contact|copyright|company,
