domain,source,ml_probability,dns_resolves,http_status,content_length,looks_legit,legit_indicators,phish_indicators
foristom.org,jpcert,0.02503822185099125,True,200.0,30320,True,about us|contact|copyright|company,
dinarama.org,jpcert,0.03414148837327957,True,200.0,58006,True,contact|company,
praevida.com.ar,jpcert,0.0362149216234684,True,200.0,37798,True,contact|copyright|company,
gs-breitenhagen.de,jpcert,0.04354144260287285,True,200.0,301795,True,contact|copyright,
selecttulsa.com,jpcert,0.058841511607170105,True,200.0,52042,True,contact|copyright,
bulletintravel.com,jpcert,0.03209458291530609,True,200.0,94649,True,contact|privacy policy|copyright,
dourosailing.com,jpcert,0.04907499626278877,True,200.0,176691,True,contact|company,
romadiaz.com,jpcert,0.044591207057237625,True,200.0,232966,True,contact|copyright,
challenge8778.com,jpcert,0.03351282328367233,True,200.0,64696,True,contact|copyright|company|会社概要|お問い合わせ,
urbanandruraldesign.com.au,jpcert,0.09219618141651154,True,200.0,245767,True,about us|contact|privacy policy|copyright|company,
kodomo-support.org,jpcert,0.09082355350255966,True,200.0,33979,True,contact|copyright|お問い合わせ,
yakunimi-kuchiwa.jp,jpcert,0.021039508283138275,True,200.0,43986,True,contact|copyright|お問い合わせ,
climatechangetalks.com,jpcert,0.015933098271489143,True,200.0,82937,True,contact|copyright,
pasoapaso.com.ar,jpcert,0.02384062670171261,True,200.0,250642,True,contact|copyright,
jcsis.jp,jpcert,0.10869189351797104,True,200.0,43543,True,contact|copyright,
pramuangnue.com,jpcert,0.02177879959344864,True,200.0,69807,True,contact|copyright,
macxel.com,jpcert,0.08230029791593552,True,200.0,121711,True,contact|privacy policy|copyright|terms of service,
joytekmotion.com,jpcert,0.015144340693950653,True,200.0,228095,True,about us|contact|company,
hzspypglj.com,jpcert,0.111170694231987,True,200.0,89007,True,about us|contact|copyright,
artesprovita.com,jpcert,0.028019024059176445,True,200.0,71785,True,about us|contact|privacy policy|copyright|terms of service,
vanessabhealth.com,phishtank,0.03703051805496216,True,200.0,142733,True,privacy policy|terms of service,
jingle.bio,phishtank,0.03460479527711868,True,200.0,187391,True,privacy policy|terms of service|company,
en.wonderlink.de,phishtank,0.06789951771497726,True,200.0,56112,True,privacy policy|terms of service,
paulrenner.net,phishtank,0.027570169419050217,True,200.0,35007,True,contact|copyright,
gallego.fr,phishtank,0.007864385843276978,True,200.0,174562,True,contact|copyright|company,
ostracontech.com,phishtank,0.02192845195531845,True,200.0,13946,True,about us|contact|copyright|company,
maper.info,phishtank,0.006819247733801603,True,200.0,67730,True,contact|privacy policy|copyright|company,
radsuramerica.com,phishtank,0.029467055574059486,True,200.0,230642,True,contact|company,
silvercrestbank.com,phishtank,0.030172929167747498,True,200.0,128569,True,about us|contact,
saraytur.com,phishtank,0.02393779531121254,True,200.0,77256,True,contact|copyright|company,
ncarecameroon.org,phishtank,0.01903868280351162,True,200.0,161545,True,about us|contact|privacy policy|copyright,
wofowon.org.np,phishtank,0.21956290304660797,True,200.0,72882,True,about us|contact|privacy policy|copyright,
gotera.net,phishtank,0.03663412481546402,True,200.0,13901,True,contact|copyright|company,
takipcigir.com,phishtank,0.06896469742059708,True,200.0,17852,True,contact|copyright,
chk.me,phishtank,0.012306338176131248,True,200.0,185066,True,contact|privacy policy|company,
ton-epo.org,phishtank,0.1035725325345993,True,200.0,136244,True,contact|copyright,
camelsafariexploring.com,phishtank,0.06195821613073349,True,200.0,197434,True,about us|contact|privacy policy|copyright|company,
cdntechone.com,phishtank,0.01151578314602375,True,200.0,12441,True,contact|privacy policy|terms of service,
kumbhatfinancialserviceslimited.com,phishtank,0.05373586714267731,True,200.0,124626,True,contact|copyright|company,
mlrip.ac.in,phishtank,0.07152744382619858,True,200.0,36771,True,about us|contact|copyright,
laubros.com,phishtank,0.04584597423672676,True,200.0,333388,True,about us|contact|copyright|company,
